Regiões de Saúde,Código da R.S.,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,Renda média per capita (em R$),Razão de dependência,Índice de Desenvolvimento Humano,Taxa de desemprego,Densidade demográfica,População total,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,População masculina total,População feminina total,Percentual da população analfabeta de 15 anos ou mais,Percentual da população residente com renda domiciliar mensal per capita de até meio salário mínimo,Razão entre a renda dos 10% mais ricos e a dos 40% mais pobres,Recursos próprios por habitante (em R$),Gasto público em saúde como proporção do PIB,Percentual dos recursos próprios destinados à saúde,Recursos próprios destinados à saúde por habitante (em R$),Total das transferências SUS por habitante (em R$),Gasto público total em saúde por habitante (em R$),Equipamentos de ultrassonografia por 100 mil habitantes,Equipamentos de ultrassonografia diponíveis ao SUS por 100 mil habitantes,Enfermeiros por 100 mil habitantes,Enfermeiros disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários por 100 mil habitantes,Médicos Ginecologistas e Obstetras ou Mastologistas e Cirurgiões de Mama por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas por 100 mil habitantes",Médicos disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários disponíveis ao SUS por 100 mil habitantes,Médicos Ginecologistas Obstetras ou Mastologistas e Cirurgiões de Mama disponíveis ao SUS por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas disponíveis ao SUS por 100 mil habitantes",Leitos de UTI Neonatal por 1000 nascidos vivos,Leitos de UTI Neonatal disponíveis ao SUS por 1000 nascidos vivos,Percentual de partos hospitalares,Percentual de crianças menores de 1 ano vacinadas com tetravalente/pentavalente,Percentual da população coberta pela Estratégia Saúde da Família (ESF),Distância média percorrida (em km) para realização de parto hospitalar fora da Região de Saúde de residência,Percentual de partos hospitalares realizados fora da Região de Saúde de residência,Razão entre o número de exames citopatológicos em mulheres de 25 a 64 anos e um terço da população de mulheres na mesma faixa etária,Percentual da população coberta por planos e seguros de assistência suplementar à saúde,Cobertura populacional estimada pelas equipes de Atenção Básica,Taxa de histerectomias padronizada por idade por 100 mil mulheres de 20 anos ou mais,Percentual de nascidos vivos de mães que fizeram mais de 6 consultas pré-natal,Número de casos novos de sífilis congênita em menores de 1 ano,Taxa de mortalidade neonatal precoce (0 a 6 dias) por 1000 nascidos vivos,Taxa de mortalidade neonatal tardia (7 a 27 dias) por 1000 nascidos vivos,Taxa de mortalidade pós-neonatal (28 a 364 dias) por 1000 nascidos vivos,Número de óbitos maternos devidos a causas diretas por 100.000 nascidos vivos,Taxa de mortalidade infantil (menores de 1 ano) por 1000 nascidos vivos
Cerrado Tocantins Araguaia,17004,68.4,25.7,72.3,449.91,54.45,0.674,6.4,4.5,149973,68.4,25.7,72.3,77549,72424,15.3,49.7,17.2,921.3,2.9,19.4,178.5,132.6,308.6,5.3,4.7,61.3,61.3,13.34,0,0,45.34,13.34,0,0,0,0,97.5,106.9,91.4,137.8,20.5,0.52,3.1,94.4,224,40.1,2,7.8,2.9,10.3,164.4,21
Ilha do Bananal,17005,68.6,28.2,79.9,561.85,48.62,0.714,7,3.3,175967,68.6,28.2,79.9,89965,86002,10.4,38,15.3,1061.9,2.4,19.7,208.9,139.7,360.3,11.4,10.2,73.3,73.3,16.48,0.57,1.14,68.19,16.48,0.57,0.57,0,0,99.5,94.2,80.4,227.7,4.4,0.76,6.2,94.4,222.3,60,2,8.3,1.5,6,37.8,15.9
Capim Dourado,17006,87.4,54.8,90.1,861.79,45.73,0.759,6.3,10.5,309348,87.4,54.8,90.1,155545,153803,6.3,30.4,19.9,1226.7,2.2,17.4,213.3,136.1,352.4,17.5,12.6,86,84.4,10.99,3.56,5.17,86.63,10.99,2.91,4.53,3.5,2.1,98.9,94.5,70.5,253.1,2.9,0.59,12.8,82.4,165.4,53.7,17,6.1,2.1,3.5,52.5,11.7
Cantão,17007,69,14.5,74.6,563.1,52.21,0.698,6.5,2.8,117604,69,14.5,74.6,61018,56586,11.7,43.4,20.6,844.8,2.5,19.2,162.3,128,300.5,6.8,4.3,64.6,64.6,8.5,1.7,4.25,56.97,8.5,0.85,2.55,0,0,99,102,83.1,128.6,21.4,0.61,2.2,92.7,266.8,48.2,1,3.8,1.6,4.9,0,10.4
Amor Perfeito,17008,68.4,44.2,73.5,462.41,56.44,0.693,7.1,2.9,106014,68.4,44.2,73.5,54543,51471,12.7,48.3,17.3,868.3,2.7,20.1,174.9,126.2,317.4,7.5,6.6,81.1,81.1,16.98,2.83,4.72,61.31,16.98,1.89,4.72,0,0,98.5,102.1,92.3,102.7,13.9,0.73,2.3,95.8,280.3,52,1,7.8,5,6.7,55.9,19.6
Açailândia,21001,51.9,10.2,67,308.65,61.89,0.618,10.3,14.5,271028,51.9,10.2,67,138072,132956,23.2,66,18.2,549.2,2.9,20.8,114.1,119.5,248,4.4,2.2,31,30.6,8.86,0.74,0.37,23.24,8.86,0.74,0,0,0,97.9,111.2,63.3,84,18.9,0.48,3.9,94.4,51.4,24.8,9,8.7,1.9,4.7,116.4,15.3
Bacabal,21002,45.8,16,46.2,265.94,62.5,0.594,7.4,29.1,261013,45.8,16,46.2,129344,131669,29.2,70,17.9,427.5,5.7,22.4,95.6,187.1,279.9,5.4,4.6,49.4,49.4,13.79,0,0,28.73,13.79,0,0,0,0,89.8,109.9,92.4,83.2,9.7,0.22,1.1,94.6,238.1,7.8,0,9.7,1.1,5.3,154.3,16.1
Balsas,21003,55.2,12.5,60.3,356.86,61.74,0.633,7.2,3.8,233178,55.2,12.5,60.3,119012,114166,17.3,62,22.6,797.9,2.9,18.4,146.8,156.5,322.9,8.1,7.3,42.9,42.9,11.15,0.86,0.43,33.45,11.15,0.86,0.43,0,0,97.7,105.3,94.4,160.7,5.1,0.66,1.9,98.5,242,35,16,10.7,1.7,6.4,85.9,18.9
Barra do Corda,21004,41.4,8.8,42.8,259.22,67.79,0.576,7.5,8.7,216556,41.4,8.8,42.8,110605,105951,29.6,73,29.6,371.8,5.5,27.8,103.4,186.3,276.1,5.1,3.7,33.7,33.7,7.85,0.92,0,19.39,7.85,0.92,0,0,0,91.1,101.6,56.4,175.1,2.2,0.5,0.7,93.3,312.1,10.1,0,8.7,2,6.1,121.1,16.8
Caxias,21005,51.4,18.1,47.1,255.4,64.59,0.59,8.1,24.5,287904,51.4,18.1,47.1,142246,145658,29.3,70.2,18.6,477.7,8.1,18.5,88.2,286.8,372.5,7.6,6.3,56.6,54.9,19.8,3.13,1.74,46.89,19.8,3.13,1.39,2,2,97.6,108.9,95.3,74.5,7.7,0.84,2.9,95.3,223.8,24.4,0,12.8,4.1,2.7,107,19.6
Chapadinha,21006,33.2,11.6,27.3,195.55,67.81,0.565,7.1,23.1,351775,33.2,11.6,27.3,178242,173533,30.6,77.5,25.1,400.7,6.4,21.4,85.7,161.4,243.3,5.1,4.8,36.1,36.1,16.77,0.28,0.28,23.88,16.77,0.28,0.28,0,0,92.8,118.1,86.1,57.3,11.8,0.46,0.6,93.8,265.3,22.8,1,10.2,1.9,4.4,88.5,16.5
Codó,21007,52.2,18.6,53.3,243.89,65.5,0.585,9.1,29.2,293948,52.2,18.6,53.3,145069,148879,32.5,73.2,25.6,357.5,7.3,22.6,80.7,194.1,278.8,4.8,3.7,35.4,35,12.59,1.36,0.68,28.92,12.59,1.36,0.68,0,0,96.2,102.4,84.3,107.4,5.2,0.1,0.9,96.8,235,13.4,0,9.4,1.8,4.6,35.5,15.8
Imperatriz,21008,71.6,28.9,72.2,454.6,55.34,0.68,7.6,19,491443,71.6,28.9,72.2,245266,246177,15.3,51.1,16.6,545.5,5.2,23.6,128.8,245.7,372.4,11.2,9.2,46.4,46.4,14.85,4.27,4.07,42.32,14.65,2.03,3.26,4.7,1.1,97.7,101.2,75.5,283,0.8,0.67,6.7,86.2,176.3,31.6,43,8,1.3,5.3,54.8,14.6
Itapecuru Mirim,21009,41.1,20.6,34.8,192.68,66.37,0.582,8.2,28,346170,41.1,20.6,34.8,174092,172078,28.1,77.4,23.2,421.7,6.7,22.6,95.2,159.3,260.5,3.8,3.8,42.5,42.5,17.62,0,0.29,25.71,17.62,0,0.29,0,0,94,115.7,89.8,88.5,9.9,0.58,0.8,89.6,122,24.9,1,9.3,1.4,5.2,141.6,15.9
Pedreiras,21010,48.1,20.1,60.2,275.2,60.06,0.602,6.5,35.6,213131,48.1,20.1,60.2,105677,107454,29.3,68.3,17.8,505.9,5.8,21.3,107.7,200.4,303.7,9.9,8.4,64.7,64.7,17.36,1.41,0.47,31.44,17.36,0.94,0.47,0,0,98.5,118.5,95.2,167.8,3.9,0.49,0.9,95.2,297.6,26.8,1,8.8,1.5,4.3,100.8,14.6
Pinheiro,21011,28.3,14.7,29,216.18,64.06,0.591,6.2,21.8,375416,28.3,14.7,29,190524,184892,21.6,73.5,17.6,417,6.9,23.3,97.3,154.3,251.8,4.3,3.7,38.4,38.4,17.05,0,0.27,24.77,17.05,0,0.27,0,0,85.2,116.1,88.7,124.2,2.6,0.42,0.6,95,175.7,21,2,11.2,1.3,4,33,16.5
Presidente Dutra,21012,60.2,11.6,41.9,249.11,61.36,0.587,5.6,21.8,278913,60.2,11.6,41.9,139663,139250,29.4,70.4,19.9,491,6.7,23.1,113.2,170.5,286.1,9.3,7.9,52.7,52.3,16.85,0,1.08,27.61,16.85,0,1.08,0,0,98.5,104.5,96.2,113.8,9.3,0.36,0.9,97.4,86.2,40.6,1,4.4,1.8,3,39.8,9.2
Rosário,21013,28.4,11.9,29.6,187.41,69.66,0.58,8.7,18.3,271276,28.4,11.9,29.6,139229,132047,22.9,77.8,21.9,476.8,7.3,20.1,95.7,138.7,254.4,4.1,4.1,39.8,39.4,13.27,0.37,0.37,22.12,13.27,0.37,0.37,0,0,84.9,118.3,95.4,79.6,15.6,0.3,2.3,97,139,17.3,1,7.4,1.8,4.3,102.4,13.5
Santa Inês,21014,57.1,12.3,41.5,234.79,68.32,0.584,6.9,18,374401,57.1,12.3,41.5,187789,186612,28.6,73.5,17.4,425.8,6,21.2,90.2,159.7,260.8,4.8,4.3,44.3,44.3,17.9,1.6,0,25.37,17.9,1.6,0,0.7,0.7,93.7,124.5,90.5,114,6.1,0.43,1.2,98.8,233.6,18.4,0,6.7,1.1,4.2,107.2,11.9
São João dos Patos,21015,53.4,5.4,39.8,247.06,61.97,0.584,6.9,8.8,233570,53.4,5.4,39.8,117080,116490,29.2,70.7,22.1,543.6,7.3,24.2,131.4,163.9,299.7,6.9,6,45.4,45.4,18.41,0,0,32.54,18.41,0,0,0,0,94.7,109.2,92.1,95.1,13.3,0.25,0.8,98,235.4,20.1,0,6.7,1.2,7.5,174.8,15.5
São Luís,21016,66.4,59.9,85.2,671.92,42.15,0.754,11.7,462.1,1337070,66.4,59.9,85.2,634645,702425,5.4,40.8,22.1,817.5,2.9,24.3,198.7,194.4,417.4,10.7,4.3,83.6,79.7,7.55,5.98,12.79,54.67,7.55,2.77,9.65,4.5,3.9,99.2,102.8,39.1,227.4,0.4,0.38,18.3,59.8,323.1,39.6,23,8.9,1.9,5.4,149.3,16.2
Timon,21017,63.7,26.2,52.7,298.48,58.53,0.618,7,23.8,234239,63.7,26.2,52.7,115593,118646,22.7,62.7,13.9,431.8,7.3,25.5,110.3,205.9,336.3,6,6,58.9,58.9,28.6,9.39,8.97,84.53,28.6,9.39,8.97,0,0,99,108.9,97.6,30.2,35.3,0.61,4.3,97.6,266.2,26.8,14,12.1,2,5.1,151.6,19.2
Viana,21018,31.3,13.2,25.4,201.31,62.28,0.587,7,37.7,254456,31.3,13.2,25.4,128313,126143,20.8,77.4,23.4,421.1,8.8,24.1,101.6,160.9,274.8,5.9,5.5,49.1,49.1,17.68,0,0.39,25.54,17.68,0,0.39,0,0,91,109.2,92.5,54.1,5.8,0.6,0.5,95.2,143.4,25,1,9.9,0.7,4.9,46.2,15.5
Zé Doca,21019,31.1,20.6,44.9,220.09,65.4,0.572,7.6,11.4,278388,31.1,20.6,44.9,142044,136344,24.9,73.3,16.1,498.3,6.1,21.1,105.3,173.7,285.3,5.7,5,46.3,46.3,27.3,0,0,34.13,27.3,0,0,0,0,91.6,123.9,91.1,152.6,3.7,0.41,0.4,91.5,175.8,21.5,3,9,1,3.6,20.1,13.7
Carnaubais,22001,59.4,24.4,44.7,266.42,55.08,0.597,7.8,8.2,158312,59.4,24.4,44.7,79064,79248,29.9,66.2,15.7,562.2,5,16.6,93.2,123.1,225.5,5.7,3.8,49.9,49.9,13.26,1.26,0.63,35.37,13.26,1.26,0.63,0,0,64,88.8,102.3,92.9,41.3,1.06,2,102,182.5,55.6,0,5.7,1.9,1.9,114.2,9.5
Chapada das Mangabeiras,22002,56.7,8.2,45,282.28,60.76,0.597,8.2,3.6,188933,56.7,8.2,45,96767,92166,22.6,68,24.4,660.8,4.7,16.9,111.7,111.6,232,4.2,3.7,47.6,47.6,20.64,0,0.53,33.35,20.64,0,0.53,0,0,92.6,104.6,99.5,246,8,0.6,1.2,99.7,237.5,35.7,1,9.7,2.1,6,90.7,17.8
Cocais,22003,54.1,16.4,44.1,254.98,57.63,0.579,4.9,21.5,388111,54.1,16.4,44.1,194432,193679,31.6,67.9,17.1,460.4,6.2,19.2,88.4,152.9,243.6,4.6,3.1,46.9,46.9,12.88,1.03,0,35.3,12.88,1.03,0,0,0,97.5,106.6,96.9,135.3,19.2,0.9,1.3,99.5,198.3,41,1,8.8,2.3,3.9,81.9,15.1
Entre Rios,22004,78.7,48.4,76.6,585.99,45.99,0.711,9,59.9,1176015,78.7,48.4,76.6,563601,612414,14.7,47.3,23.1,746.3,4.8,28.3,211.2,281.7,490.1,12.7,6.5,63.8,61.8,17.69,6.63,7.31,92.69,17.6,5.36,6.29,1.7,0.7,99.2,97.6,94.7,114.4,0.9,0.78,16.3,97.7,212.4,47.4,16,8.6,3.2,4.5,89.6,16.3
Planície Litorânea,22005,62.5,19.5,61.6,348.68,53.02,0.624,8.5,43.2,267293,62.5,19.5,61.6,132348,134945,23.3,62.7,19.9,490.4,3.6,17.6,86.5,97.3,192.5,8.2,8.2,44.9,44.9,7.48,2.62,1.12,41.15,7.48,2.62,1.12,0,0,99,92.7,87.1,170.2,2.4,0.48,3.8,98.7,540.7,22.9,4,15.3,1.2,5.6,0,22.1
Serra da Capivara,22006,41.2,9.3,38.5,268.33,54.64,0.596,7,5.7,141851,41.2,9.3,38.5,71728,70123,26.3,66.2,19,703.4,6.6,16.6,116.7,145.5,262.1,5.6,5.6,55,55,11.98,0,0,23.26,11.98,0,0,0,0,96.9,104.6,98.7,254.9,6.7,1.11,1.1,100.7,341,47.9,1,10.4,3.2,4.1,45.4,17.7
Tabuleiros do Alto Parnaíba,22007,67.5,11.1,60.8,280.53,58.15,0.605,10.6,1.9,45017,67.5,11.1,60.8,22859,22158,20.9,64.1,18.6,1245.7,2.1,16.6,206.9,121.4,328.9,8.9,8.9,42.2,42.2,17.77,0,0,28.88,17.77,0,0,0,0,97.1,115.2,98,225.4,16.4,0.8,3.4,98.4,43.7,22.8,0,2.5,2.5,2.5,0,7.5
Vale do Canindé,22008,58.7,19,46.9,299.24,55.95,0.6,6.2,9.3,105318,58.7,19,46.9,52217,53101,28.9,65.7,22.8,689.1,6.1,17.6,121.6,131.5,259.9,9.5,5.7,48.4,48.4,13.29,0,0,27.54,13.29,0,0,0,0,98.2,103.2,97.7,124.4,13.5,0.6,2.2,100.4,137.2,32.6,0,9,3.2,4.5,64.5,16.8
Vale do Rio Guaribas,22009,55.6,17.8,51.7,310.83,52.25,0.597,6.4,14.9,362701,55.6,17.8,51.7,179839,182862,30.2,61.9,16.6,678.7,5.5,18.2,123.3,177.7,307.8,9.6,8.5,54.6,54.3,16.54,0.28,0.28,37.77,16.54,0.28,0.28,5.5,0,97.7,108.4,98.7,139.5,6.6,0.92,2.2,99.9,188.3,42.8,7,13.1,2.7,4.4,76.1,20.2
Vale do Sambito,22010,73.4,14.8,58.8,264.71,55.32,0.596,7.5,7.8,104843,73.4,14.8,58.8,51369,53474,31.9,65.5,16,714.8,6.4,17.6,125.8,134.3,262.9,7.6,6.7,44.8,44.8,15.26,0,0,32.43,15.26,0,0,0,0,98.7,104.4,101,132.3,20,0.94,2.5,101,253.9,56.2,0,5.7,2.9,5.7,142.7,14.3
Vale dos Rios Piauí e Itaueiras,22011,66.7,19.8,56.4,328.82,54.57,0.617,7.6,5.3,204562,66.7,19.8,56.4,101731,102831,23.9,60.5,17.2,836.8,5.6,18.6,156,214.5,350.4,7.3,4.9,56.7,56.7,15.64,0.98,0,42.04,15.64,0.98,0,0,0,92.6,102,101.9,120.3,18,0.77,3.5,102,271.2,38.4,0,9.1,2.9,6.8,325.6,18.9
1ª Região Fortaleza,23001,88.7,71.2,97.8,769.68,41.58,0.749,7.6,2587.3,2642868,88.7,71.2,97.8,1257036,1385832,7.5,35.7,23.6,795.5,2.7,22.5,178.9,215.6,406.2,17.4,5.6,79.7,67.7,10.48,7.98,12.03,90.85,10.44,5.71,9.12,3.4,2.4,99.7,101.8,37,53.8,0.9,0.47,30.9,33.5,179.2,43.5,451,6.8,1.5,3.8,54.1,12.1
2ª Região Caucaia,23002,66.5,41.9,74.3,319.31,50.95,0.661,8.2,93.6,571894,66.5,41.9,74.3,286119,285775,16.5,58.6,12.6,546.9,3,22,120.5,126.5,252.8,3.7,3.5,35.5,35.3,15.56,2.62,1.57,36.72,15.56,2.45,1.57,0,0,99.5,106.3,73.8,31.7,34.4,0.48,5.4,66,175.4,47.3,49,5.5,2.2,3.7,96.3,11.6
3ª Região Maracanaú,23003,84.1,52,85.2,311.91,48.15,0.666,9.7,271.2,499178,84.1,52,85.2,248320,250858,13.8,55.9,9.4,701.3,2.8,21.8,153,163.2,328,5,3.8,42.9,42.3,14.42,0.6,0,42.27,14.42,0.6,0,0,0,99.7,98.9,81.9,28.1,15.7,0.62,10.3,69.3,342.5,57.5,29,5.4,1.3,3.8,25.3,10.5
4ª Região Baturité,23004,52.7,29,55.2,238.99,57.54,0.617,6.5,61.5,135036,52.7,29,55.2,68175,66861,25.2,68.1,14.3,675.7,7.9,21.7,146.5,180.3,354.9,5.2,5.2,55.5,55.5,21.48,1.48,2.22,66.65,21.48,1.48,2.22,0,0,99.5,128.4,96.5,84.1,18.4,0.93,1.3,98.8,145.4,63.6,2,7.2,1.5,5.6,51.3,14.4
5ª Região Canindé,23005,61.4,22.2,51.3,235.14,60.86,0.601,8.4,21.5,197992,61.4,22.2,51.3,99632,98360,28.1,71.5,22.9,500.7,5.6,18.6,93.4,151.1,245.8,5.6,3,41.4,41.4,19.19,0,1.01,36.87,19.19,0,1.01,0,0,98,107.5,73.1,120,7.6,0.81,1.2,96.1,253.4,45.5,8,5.2,2.1,4.5,68.8,11.7
6ª Região Itapipoca,23006,47.5,19.3,48.1,221.69,60.12,0.622,8.5,54.9,276279,47.5,19.3,48.1,141335,134944,24.1,73.2,19.9,455.7,4.5,19.2,87.5,127.6,223.4,6.9,4.3,38.7,38.7,13.75,0.36,0,22.8,13.39,0.36,0,0,0,98.4,101,76,93.8,6,0.61,1,75.8,237.5,48.4,7,7.1,2.6,3.7,43.1,13.4
7ª Região Aracati,23007,64,5.9,74,311.96,47.51,0.645,9.7,51.8,111208,64,5.9,74,55920,55288,21.5,60.8,14.6,657.7,3.7,17.9,117.5,142.3,289.7,6.3,4.5,44.1,43.2,12.59,0.9,0,40.46,12.59,0.9,0,0,0,99.5,101.8,70.7,98.5,7.8,0.71,3.7,72.3,46.9,72.4,5,7,0.6,1.9,63.6,9.5
8ª Região Quixadá,23008,64.4,35.6,55.1,266.96,56.51,0.631,7.1,24.2,310277,64.4,35.6,55.1,155274,155003,26,66.2,16.9,522.1,5.5,20.9,109.2,163.5,286.7,8.7,6.8,52.5,52.5,8.38,0,0,29.01,8.38,0,0,6.1,1.7,98.6,119,87.6,153.3,6.5,0.79,1.9,99.1,203.9,60.1,7,8.7,2.2,3.5,152.1,14.3
9ª Região Russas,23009,67.6,16.9,63.1,300.38,48.95,0.638,6.9,26,193514,67.6,16.9,63.1,97301,96213,24.3,58.7,12.3,505.9,4.1,22.6,114.1,162.8,278.6,6.2,4.7,46,46,9.82,1.03,0.52,37.21,9.82,0.52,0.52,0,0,99.7,101.1,87.3,144.8,12.9,0.89,1.7,94.5,357.3,70.3,6,8.1,0,1.5,115.6,9.6
10ª Região Limoeiro do Norte,23010,74.5,25,65.6,313.14,49.94,0.641,7.9,26,219398,74.5,25,65.6,109100,110298,24.1,58.3,13.3,666.1,3.6,21.6,143.9,151.8,315.9,8.2,4.1,46.9,46.9,6.84,0.91,0.91,30.54,6.84,0.91,0.91,0,0,99.8,107.1,91.2,137.8,8.6,1.02,2,96.1,254.5,76.9,5,5.8,0.7,5.2,0,11.7
11ª Região Sobral,23011,71.8,37.9,64.5,293.91,55.91,0.644,7.1,35.6,616451,71.8,37.9,64.5,306775,309676,24.8,64.7,17.5,689.3,5.8,19.6,135,238.1,389.2,7.8,5.7,68.1,67,16.71,0.65,1.95,44.45,16.71,0.32,1.62,0.5,0.5,96.5,107.3,82.4,106.5,2.1,0.57,3.3,95.5,227.9,74.3,22,9.7,2.9,3.9,43.4,16.5
12ª Região Acaraú,23012,51.2,14.3,47.3,241.63,58.51,0.614,6.2,54.4,213711,51.2,14.3,47.3,108981,104730,26.4,72.1,20.2,536.9,5.7,21.8,117.1,142.6,273.2,5.1,4.2,58,58,11.23,0.94,0.47,30.88,10.29,0.47,0.47,0,0,95,107.9,82.7,96,13.5,0.76,0.7,96.9,152.6,68.3,0,6.7,2.5,1.4,83.7,10.6
13ª Região Tianguá,23013,63.6,19.4,49.5,268.94,60.59,0.618,4.4,59,299312,63.6,19.4,49.5,149679,149633,27.5,69.3,18.2,511.7,4.5,21.6,110.7,128.4,242.2,8.4,5,54.5,54.5,7.02,0,1,27.4,7.02,0,1,0,0,98.9,97.8,73.4,93.1,7.1,0.66,1.3,92.2,236.8,64.1,8,7.6,2.1,5,76.4,14.7
14ª Região Tauá,23014,59.9,27.4,53.8,252.37,58.98,0.606,5.6,11.4,112418,59.9,27.4,53.8,55640,56778,31.4,69.1,18.1,557.9,7,21.9,122.4,178.6,301.1,8,4.4,40.9,40.9,8.01,0,2.67,26.69,8.01,0,2.67,0,0,87.7,103,75.8,266.3,5.7,0.67,1.2,99.6,203.8,74.2,4,8,3.1,3.1,61.9,14.2
15ª Região Crateús,23015,67.3,25.3,49.7,262.3,58.34,0.611,8,18.9,294614,67.3,25.3,49.7,145671,148943,29.3,67.8,20.9,531.1,6.7,22.3,118.4,149.1,291.2,4.4,3.4,42.1,42.1,11.2,0,0.68,31.23,11.2,0,0.68,1.4,0,98.7,104.2,74.2,140.3,4.5,0.6,1.8,102,117.1,61.9,1,8.7,2.1,3.5,188.1,14.3
16ª Região Camocim,23016,59.7,19.3,54.5,211.41,59.19,0.592,7.4,32.1,152193,59.7,19.3,54.5,76717,75476,32.7,75.8,21.8,509.3,5.2,22.1,112.5,113.4,227.7,7.9,7.9,43.4,43.4,12.48,1.31,1.31,28.91,12.48,1.31,1.31,0,0,95.7,107.5,70.9,92.7,15.7,0.65,1.1,96.2,296.5,42.8,1,9.4,2,2.9,81.7,14.3
17ª Região Icó,23017,67.3,26.4,54.5,278.16,55.23,0.615,6.1,35.5,170377,67.3,26.4,54.5,84423,85954,29.2,65.2,19.5,534.5,6.5,20,107.1,152.1,275.8,5.9,5.3,42.8,42.8,11.15,0,0.59,28.17,11.15,0,0.59,0,0,99.7,111.4,77.8,112,8.3,0.43,1.4,99.2,242.2,56.1,1,7.3,1.7,3,129.3,12.1
18ª Região Iguatú,23018,65.1,21.1,55.5,294.06,53.29,0.624,6.6,28.5,311039,65.1,21.1,55.5,154376,156663,29.3,62.9,17.5,526.5,5.8,19.2,101.2,158.6,291.7,7.1,5.5,46,45.7,7.39,0.32,1.29,29.9,7.39,0.32,0.96,0,0,98.9,109.4,87.1,232.8,2.7,0.71,2,100.2,130,68.6,4,7.1,1.6,2.6,47,11.3
19ª Região Brejo Santo,23019,59.7,26.6,53.2,255.92,55.09,0.624,8,43.2,208122,59.7,26.6,53.2,103299,104823,26.1,66.9,14.8,595.1,6.8,19.4,115.2,169.7,289.5,8.6,4.3,49.5,49.5,5.77,0,1.44,45.65,5.77,0,1.44,0,0,99.8,96,88.2,50.5,4.3,0.76,1.7,92.2,184.9,67.6,3,12.7,2.1,3.3,30.2,18.1
20ª Região Crato,23020,68,27.2,66.4,318.2,56.93,0.65,6.9,37.1,332972,68,27.2,66.4,162527,170445,24,62.5,19.4,564.8,5.9,17.2,97,194.7,303.8,8.1,4.8,55.9,55.6,6.91,0.9,1.5,38.14,6.91,0.6,1.5,0,0,99.6,110.9,88.3,54.2,4.5,0.85,3.9,93.6,282.7,66,4,10.4,2.6,4.8,130,18
21ª Região Juazeiro do Norte,23021,80,36.8,78.8,375.67,54.51,0.674,8.7,157.3,402764,80,36.8,78.8,194705,208059,18.9,56.4,15.7,464.6,5.4,22.6,105.1,257.4,369.7,12.2,8.2,61.6,61.3,12.17,1.74,1.74,60.83,12.17,1.49,1.49,2.5,2.5,99.8,97.5,87.7,50.3,2.3,0.58,5,97.5,141.6,61.3,14,8.9,3.3,4,59.1,16.1
22ª Região Cascavel,23022,44.3,10.5,70.7,300.13,50.43,0.643,8.3,74.8,298169,44.3,10.5,70.7,150033,148136,21.6,59.6,11.6,618.1,3.3,20.9,128.9,130.6,277.9,5,4.4,43.9,43.9,17.44,1.68,1.01,45.28,17.44,1.68,1.01,0,0,99.3,108.1,78.4,55.7,49.4,0.58,4.5,90.3,66,53.9,15,6.1,0.7,4.7,118.2,11.6
1ª Região de Saúde - São José de Mipibu,24001,72.4,18.8,77.4,283.59,56.68,0.605,10.4,95.8,362222,72.4,18.8,77.4,183056,179166,27.7,62.7,15.4,722.9,4.8,20.9,151.1,140.1,294.2,9.7,9.7,53.3,53.3,17.67,1.38,4.14,50.8,17.67,1.38,4.14,0,0,99,107,95.8,48.2,47.7,0.65,2.7,95.7,226.3,40.7,34,7.5,1.3,5.5,35.7,14.3
2ª Região de Saúde - Mossoró,24002,78.7,44.8,82.4,468.07,45.17,0.687,10.3,42.8,450265,78.7,44.8,82.4,223321,226944,16.9,44.1,14.5,744.4,3.2,24,179,182.3,370,9.3,6.2,57.7,57.1,10.66,3.33,3.78,56.19,10.66,2.67,2.89,0.5,0.5,99.9,103.8,81.3,148.3,3.3,0.67,13.8,91,253.6,24.6,17,10.1,2,3.7,62.1,15.8
3ª Região de Saúde - João Câmara,24003,67.2,33.6,66.4,284.92,56.77,0.599,10.6,31.2,333637,67.2,33.6,66.4,169504,164133,25.2,61.9,14.4,895.6,3.4,22.3,200.1,136.1,332.6,7.8,7.2,45,44.7,19.78,1.8,2.1,43.16,19.78,1.8,2.1,0,0,99.2,104,96,62.4,52,0.78,4.2,95.6,191.1,39.4,17,6.5,1.6,4.9,20.3,13
4ª Região de Saúde - Caicó,24004,81.9,58.5,78.3,403.18,48.38,0.661,6.6,28.2,304747,81.9,58.5,78.3,150987,153760,20.1,48.7,14.3,724.9,4.6,20.5,148.5,146.6,301.6,10.8,7.2,44.3,44,8.86,0.98,1.64,45.61,8.86,0.66,1.64,0,0,99.9,105.5,87.3,134.6,6.8,0.64,3.2,93.5,386.7,65.9,1,12.4,3.3,2.5,75.9,18.2
